fr,de
le jardin d’enfants,der Kindergarten
l’examen,die Prüfung
la rédaction,der Aufsatz
la note,die Note (Schule)
le tableau,die Tafel
la règle,das Lineal
la calculette,der Taschenrechner
la chimie,die Chemie (Schule)
les mathématiques,die Mathematik
épeler,buchstabieren
lever le doigt,sich melden
le voyage scolaire,die Klassenfahrt
l’emploi du temps,der Stundenplan
le bal de clôture,der Abschlussball
le bulletin scolaire,das Zeugnis (Schule)
l’experience,der Versuch (Labor)
l’aimant,der Magnet
le chronomètre,die Stoppuhr
la pile,die Batterie
la pince,die Pinzette
le ballon de football,der Fußball
le panier-repas,das Lunchpaket
le casier,der Spind
la récréation,die Pause
l’amphithéâtre,der Hörsaal
le bachelier,der Bachelor
faire un exposé,ein Referat halten
le cours magistral,die Vorlesung
la cité universitaire,das Studentenwohnheim
le restaurant universitaire,die Mensa
la formation,die Ausbildung
la demande d’emploi,die Bewerbung
l’avocat,der Rechtsanwalt
l’informaticien,der Informatiker
le facteur,der Briefträger
le paysan,der Bauer
l’éboueur,der Müllmann
le couvreur,der Dachdecker
le chauffeur de bus,der Busfahrer
le scientifique,der Wissenschaftler
le président,der Vorstand
le service du personnel,die Personalabteilung
la société anonyme (S.A.),die Aktiengesellschaft (AG)
la corbeille à papiers,der Papierkorb
le rendez-vous,der Termin
le scotch,der Tesafilm
l’agrafeuse,der Tacker
le perforateur,der Locher
le classeur,der Ordner
l’enveloppe,der Briefumschlag
le surligneur,der Textmarker
le carnet,das Notizbuch
le trombone,die Büroklammer
la gomme,der Radiergummi
le patron,der Chef
le feuillet,die Folie (Powerpoint)
le salaire,das Gehalt
