nl,de
de decoupeerzaag,die Stichsäge
de accuschroevendraaier,der Akkuschrauber
de boor,die Bohrmaschine
de houtkrullen,die Holzspäne
het verlengsnoer,das Verlängerungskabel
hameren,hammern
schaven,hobeln
solderen,löten
het draad,der Draht
het roestvrije staal,der rostfreie Stahl
de hamer,der Hammer
de steeksleutel,der Schraubenschlüssel
de rolmaat,das Maßband
de moer,die Mutter
de waterpas,die Wasserwaage
de ring,die Unterlegscheibe
de kruiskopschroevendraaier,der Kreuzschlitzschrauenzieher
de kniptang,der Seitenschneider
de handzaag,der Fuchsschwanz
het schuurpapier,das Schmirgelpapier
het behang,die Tapete
het trapje,die Trittleiter
het plamuurmes,der Spachtel
de behangplak,der Tapetenkleister
het afplakband,das Abklebeband
