nl,de
de border,das Blumenbeet
het gazon,der Rasen
de heg,die Hecke
het hek,der Zaun
de kas,das Gewächshaus
de tuinpoort,das Gartentor
de fontein,der Springbrunnen
het bolgewas,die Zwiebelpflanze
de varen,der Farn
de bamboe,der Bambus
de loofboom,der Laubbaum
de naaldboom,der Nadelbaum
de cactus,der Kaktus
de kuipplant/de potplant,die Topfpflanze
de struik/de heester,der Strauch
de spade,der Spaten
de mestvork,die Mistgabel
de hark,die Harke
de kruiwagen,die Schubkarre
het handvat,der Griff
de grasmaaier,der Rasenmäher
het lemmet,die Klinge
de bloempot,der Blumentopf
de tuinslang,der Gartenschlauch
de grassproeier,der Rasensprenger
de gieter,die Gießkanne
de plantenspuit,die Spritzflasche
sproeien,gießen
snoeien,(Pflanzen) beschneiden
de lelie,die Lilie
de anjer,die Nelke
de knop,die Knospe
de paardenbloem,der Löwenzahn
