fr,de
le faubourg,die Vorstadt
la rivière,der Flus
la vieille ville,die Altstadt
la rue transversale,die Seitenstraße
l’escalier,die Treppe
la ruelle,die Gasse
le quartier animé,das Ausgehviertel
le gratte-ciel,der Wolkenkratzer
le château fort,die Burg
le château,das Schloss
la réverbère,die Straßenlaterne
la bouche d’incendie,der Hydrant
la zone piêtonne,die Fußgängerzone
au coin,an der Ecke
en face,gegenüber
le guichet,der Schalter
le billet (de banque),der Geldschein
la pièce (de monnaie),die Münze
la devise,die Währung
l’escalier roulant,die Rolltreppe
le rez-de-chaussée,das Erdgeschoss
la cabine d’essayage,die Umkleidekabine
le sac,die Tüte
le cassier,der Kassierer
le tapis de caisse,das Warentransportband (an der Kasse)
le caddie,der Einkaufswagen
le panier d’achat,der Einkaufskorb
le rayon fromages,die Käsetheke
le code-barres,der Strichcode
la caisse libre-service,die Selbstscankasse
le bon de caisse,der Kassenzettel
les pâtisseries,die Backwaren
le chewing-gum,das Kaugummi
le briquet,das Feuerzeug
le comptoir,die Theke
le plateau,das Tablett
prendre un café ensemble,sich auf einen Kaffee treffen
La même chose.,Das Gleiche noch einmal.
la plate-forme panoramique,die Aussichtsplattform
la queue (d’attente),die Warteschlange
la pelouse,die Liegewiese
le terrain de jeux,der Spielplatz
faire du footing,joggen
le portique,das Klettergerüst
le tobogan,die Rutsche
la balançoire,die Schaukel
la bascule,die Wippe
