fr,de
le bouton,der Button
la touche d’entrée,die Entertaste
le câble électrique,das Stromkabel
le disque dur,die Festplatte
la mémoire vive,der Arbeitsspeicher
la clé USB,der USB-Stick
l’imprimante,der Drucker
taper,tippen (Tastatur)
mémoriser,speichern
octets,Bytes
le dossier,der Ordner (Computer)
le fichier,die Datei
la police de caractères,die Schriftart
arrêter l’ordinateur,den Computer herunterfahren
le système d’exploitation,das Betriebssystem
la wifi,das WLAN
le navigateur,der Browser
la pièce jointe,der Anhang (E-Mail)
transmettre un e-mail,eine E-Mail weiterleiten
le compte d’utilisateur,das Benutzerkonto
la tablette,das Tablet
l’appli,die App
la zone d’ombre,das Funkloch
l’avoir,das Guthaben
l’annuaire,das Telefonbuch
la télécommande,die Fernbedienung
le volume sonore,die Lautstärke
le téléviseur,der Fernseher
l’émission en direct,die Livesendung
la prise de son,die Tonaufnahme
le bulletin météo,der Wetterbericht
la une,die Titelseite
le gros titre,die Schlagzeile
la page,die Seite (Buch)
la table des matières,das Inhaltsverzeichnis
le colis,das Paket
le paquet,das Päckchen
la lettre,der Brief
port payé,portofrei
le poids,das Gewicht
