nl,de
de vulpen,der Füller
het potlood,der Bleistift
het kleurpotlood,der Buntstift
de puntenslijper,der Spitzer
de/het gom,der Radiergummi
de liniaal,das Lineal
het opstel,der Aufsatz (Text)
de omtrek,der Umfang
de diameter,der Durchmesser
de straal,der Radius
de ovaal,das Oval
de ruit,die Raute
het trapezium,das Trapez
de hypotenusa,die Hypotenuse
de gelijkzijdige driehoek,das gleichseitige Dreieck
de gelijkbenige driehoek,das gleichschenklige Dreieck
de kegel,der Kegel
de cilinder,der Zylinder
de kubus,der Würfel (Geometrie)
de piramide,die Pyramide
de top,die Spitze (Pyramide)
het zijvlak,die Seite (Würfel)
de bol,die Kugel
recht,gerade
de rechte lijn,die Gerade
het lijnstuk,die Strecke (Geometrie)
de ribbe,die Kante (Geometrie)
loodrecht,senkrecht
de passer,der Zirkel
optellen,addieren
de bunsenbrander,der Bunsenbrenner
de trechter,der Trichter
de kolf,der Kolben
de reageerbuis,das Reagenzglas
de magneet,der Magnet
de (studie-)beurs,das Stipendium
